Second,Millisecond,Depth (inches),Rate (CPM),Release Velocity (MM/S),Valid/Invalid
288,399,0.631,144,79,Valid
288,807,0.672,144,99,Valid
289,271,0.632,138,100,Valid
289,679,0.633,141,113,Valid
290,527,0.629,71,104,Valid
290,975,0.615,136,81,Valid
291,360,0.655,144,89,Valid
292,568,0.709,48,103,Valid
293,8,0.624,147,98,Valid
293,440,0.565,144,86,Valid
294,728,0.665,44,74,Valid
295,176,0.603,144,78,Valid
295,632,0.588,131,85,Valid
296,80,0.578,138,80,Valid
296,488,0.603,144,92,Valid
297,376,0.597,70,80,Valid
297,760,0.599,136,82,Valid
302,793,0.645,11,67,Valid
303,233,0.584,141,59,Valid
305,377,0.633,27,68,Valid
307,865,0.599,24,81,Valid
309,994,0.605,28,71,Valid
311,266,0.568,47,55,Valid
313,722,0.548,24,71,Valid
328,764,0.619,3,92,Valid
329,652,0.659,66,68,Valid
330,68,0.624,138,73,Valid
330,500,0.599,138,90,Valid
330,964,0.56,136,93,Valid
331,428,0.608,129,96,Valid
331,884,0.621,133,84,Valid
332,332,0.662,133,80,Valid
332,724,0.692,138,87,Valid
333,164,0.603,144,81,Valid
333,612,0.575,138,75,Valid
334,4,0.601,141,85,Valid
334,436,0.565,144,85,Valid
334,868,0.539,141,77,Valid
335,716,0.613,68,76,Valid
337,453,0.613,34,84,Valid
338,381,0.564,66,67,Valid
338,821,0.54,131,66,Valid
340,109,0.589,44,100,Valid
341,461,0.549,46,68,Valid
343,149,0.596,34,83,Valid
344,493,0.605,45,67,Valid
346,645,0.694,27,83,Valid
348,398,0.624,35,77,Valid
350,94,0.576,35,64,Valid
351,846,0.564,35,72,Valid
354,262,0.738,24,183,Valid
354,750,0.669,141,125,Valid
355,238,0.844,120,119,Valid
355,606,0.861,147,115,Valid
356,62,0.96,125,144,Valid
356,535,0.867,131,143,Valid
356,967,0.79,144,149,Valid
357,431,0.716,133,128,Valid
357,863,0.734,138,120,Valid
358,343,0.774,125,103,Valid
358,807,0.848,125,117,Valid
359,271,0.796,131,120,Valid
359,767,0.757,127,118,Valid
360,223,0.725,129,101,Valid
360,655,0.731,133,104,Valid
361,119,0.727,131,118,Valid
361,591,0.731,127,110,Valid
362,31,0.755,133,133,Valid
362,487,0.77,136,135,Valid
362,871,0.721,153,111,Valid
363,327,0.771,131,117,Valid
363,751,0.764,141,113,Valid
364,159,0.724,144,118,Valid
364,632,0.702,131,107,Valid
365,72,0.705,133,114,Valid
365,512,0.69,136,119,Valid
365,936,0.704,141,120,Valid
366,352,0.693,144,124,Valid
366,824,0.747,122,119,Valid
367,264,0.702,144,108,Valid
367,680,0.678,141,106,Valid
368,120,0.694,136,114,Valid
368,528,0.668,147,103,Valid
368,968,0.683,138,108,Valid
369,392,0.673,138,118,Valid
369,816,0.66,144,113,Valid
370,232,0.655,141,110,Valid
370,648,0.682,144,112,Valid
371,72,0.659,144,105,Valid
371,480,0.659,144,117,Valid
371,928,0.699,133,120,Valid
372,360,0.695,138,110,Valid
372,768,0.7,147,106,Valid
373,192,0.671,144,102,Valid
373,600,0.648,144,105,Valid
374,24,0.64,144,99,Valid
374,433,0.675,141,109,Valid
374,881,0.621,147,106,Valid
375,281,0.615,138,96,Valid
375,713,0.643,141,92,Valid
376,153,0.667,133,103,Valid
376,585,0.613,144,98,Valid
376,993,0.657,141,112,Valid
377,433,0.667,138,107,Valid
377,833,0.691,141,112,Valid
378,305,0.651,138,109,Valid
378,665,0.72,147,136,Valid
379,121,0.693,141,125,Valid
379,561,0.696,136,108,Valid
379,977,0.761,138,115,Valid
380,393,0.809,138,138,Valid
380,881,0.665,141,114,Valid
381,281,0.689,131,111,Valid
381,737,0.641,141,97,Valid
382,153,0.614,144,87,Valid
382,586,0.624,138,87,Valid
382,978,0.613,147,96,Valid
383,418,0.579,144,85,Valid
383,810,0.599,144,97,Valid
384,234,0.61,141,97,Valid
384,658,0.605,144,91,Valid
385,74,0.606,141,100,Valid
385,514,0.613,141,102,Valid
385,914,0.623,144,98,Valid
386,338,0.601,147,92,Valid
386,738,0.634,144,97,Valid
387,170,0.615,144,94,Valid
387,546,0.632,150,109,Valid
387,970,0.61,150,103,Valid
388,386,0.576,147,93,Valid
388,778,0.62,144,101,Valid
389,170,0.644,147,109,Valid
389,618,0.622,144,103,Valid
390,42,0.609,141,96,Valid
390,442,0.625,144,93,Valid
390,866,0.621,144,103,Valid
391,290,0.606,141,100,Valid
391,706,0.587,147,100,Valid
392,523,0.649,71,100,Valid
392,947,0.578,153,90,Valid
393,347,0.593,141,91,Valid
393,763,0.586,150,91,Valid
394,171,0.614,138,103,Valid
394,587,0.599,150,103,Valid
394,995,0.615,144,104,Valid
395,427,0.65,136,100,Valid
395,875,0.709,131,119,Valid
396,307,0.698,141,112,Valid
396,755,0.675,138,110,Valid
397,179,0.686,136,110,Valid
397,603,0.672,141,109,Valid
398,43,0.676,138,107,Valid
398,475,0.674,138,104,Valid
398,891,0.701,141,114,Valid
399,339,0.644,141,101,Valid
399,739,0.663,141,107,Valid
400,163,0.663,141,109,Valid
400,604,0.643,138,103,Valid
401,20,0.644,144,109,Valid
401,483,0.605,144,93,Valid
401,867,0.583,147,85,Valid
402,268,0.624,138,89,Valid
402,660,0.668,147,115,Valid
403,116,0.658,138,120,Valid
403,556,0.62,147,110,Valid
403,980,0.627,138,89,Valid
404,332,0.745,144,124,Valid
404,788,0.659,147,114,Valid
405,220,0.609,147,101,Valid
405,620,0.622,144,95,Valid
406,12,0.664,144,94,Valid
406,436,0.632,144,92,Valid
406,852,0.705,138,126,Valid
407,324,0.708,133,113,Valid
407,732,0.72,144,111,Valid
408,140,0.756,141,122,Valid
408,556,0.72,147,113,Valid
408,988,0.707,141,119,Valid
409,404,0.659,150,106,Valid
409,788,0.652,153,95,Valid
410,204,0.681,138,100,Valid
410,612,0.68,144,112,Valid
411,36,0.679,150,117,Valid
411,453,0.655,147,106,Valid
411,829,0.658,153,112,Valid
412,237,0.619,150,101,Valid
412,637,0.659,144,115,Valid
413,61,0.64,150,100,Valid
413,461,0.608,147,92,Valid
413,861,0.635,144,105,Valid
414,261,0.639,150,115,Valid
414,701,0.636,144,110,Valid
415,101,0.687,141,114,Valid
415,541,0.683,138,109,Valid
415,957,0.657,144,108,Valid
416,389,0.639,141,100,Valid
417,237,0.644,70,94,Valid
417,661,0.628,141,89,Valid
418,93,0.571,147,92,Valid
418,501,0.547,147,85,Valid
418,901,0.571,144,94,Valid
419,301,0.578,150,100,Valid
419,669,0.552,163,113,Valid
420,214,0.769,102,175,Valid
420,622,0.721,147,178,Valid
421,862,0.975,47,157,Valid
422,294,0.786,150,155,Valid
422,710,0.777,147,203,Valid
423,126,0.777,150,176,Valid
423,502,0.823,153,149,Valid
423,870,0.851,156,158,Valid
424,278,0.872,150,183,Valid
424,726,0.819,141,176,Valid
425,134,0.827,141,177,Valid
425,590,0.78,136,161,Valid
425,998,0.788,144,149,Valid
426,390,0.861,141,202,Valid
426,854,0.808,144,187,Valid
427,262,0.789,147,150,Valid
427,638,0.861,144,149,Valid
428,94,0.834,136,149,Valid
428,510,0.894,138,180,Valid
428,942,0.816,150,181,Valid
429,383,0.782,138,157,Valid
429,791,0.8,141,152,Valid
430,207,0.771,144,124,Valid
430,591,0.773,150,143,Valid
431,15,0.764,144,167,Valid
431,447,0.688,150,150,Valid
431,839,0.65,150,128,Valid
432,215,0.685,153,129,Valid
432,607,0.708,147,143,Valid
433,31,0.641,153,116,Valid
433,423,0.702,144,162,Valid
433,823,0.684,153,159,Valid
434,223,0.697,153,155,Valid
434,599,0.74,153,148,Valid
435,31,0.744,141,118,Valid
435,407,0.759,150,144,Valid
435,815,0.733,150,163,Valid
436,279,0.715,136,165,Valid
436,695,0.675,147,135,Valid
437,63,0.71,150,131,Valid
437,447,0.745,153,155,Valid
437,863,0.698,153,150,Valid
438,271,0.709,150,145,Valid
438,671,0.741,138,146,Valid
439,95,0.727,150,155,Valid
439,512,0.773,138,167,Valid
439,952,0.721,150,138,Valid
440,336,0.737,141,131,Valid
440,736,0.722,150,142,Valid
441,168,0.765,141,157,Valid
441,560,0.752,156,169,Valid
441,984,0.731,147,145,Valid
442,376,0.756,147,130,Valid
442,808,0.79,136,132,Valid
443,176,0.789,156,157,Valid
443,600,0.757,147,160,Valid
444,40,0.715,144,129,Valid
444,432,0.767,141,136,Valid
444,864,0.788,141,148,Valid
445,256,0.827,147,166,Valid
446,64,0.778,75,148,Valid
446,440,0.713,163,134,Valid
446,816,0.752,153,130,Valid
447,184,0.724,163,145,Valid
447,576,0.71,156,151,Valid
447,976,0.666,159,128,Valid
448,369,0.669,150,115,Valid
448,785,0.744,133,134,Valid
449,193,0.76,153,134,Valid
449,569,0.784,153,161,Valid
450,417,0.855,71,147,Valid
450,857,0.795,144,112,Valid
451,265,0.872,136,152,Valid
451,697,0.84,147,149,Valid
