second25,ms26,D,CPM,Vr,valid
1150,437,2119,131,435,1
1150,893,2031,133,393,1
1151,342,2006,131,388,1
1151,790,2038,133,402,1
1152,254,1996,129,385,1
1152,702,2015,133,390,1
1153,158,2159,129,441,1
1153,622,2095,131,397,1
1154,62,2142,133,416,1
1154,526,2143,131,397,1
1154,974,2083,133,372,1
1155,422,1894,133,324,1
1155,886,1786,129,316,1
1156,342,1776,131,326,1
1156,790,1757,133,311,1
1157,254,1680,129,289,1
1157,702,1699,131,309,1
1158,174,1697,127,297,1
1158,654,1651,127,296,1
1159,118,1627,127,274,1
1159,574,1612,133,298,1
1160,46,1598,127,283,1
1160,519,1554,127,260,1
1160,999,1482,125,215,1
1161,463,1603,125,319,1
1161,943,1503,131,273,1
1162,415,1535,125,278,1
1162,887,1509,127,253,1
1163,351,1538,129,290,1
1163,823,1455,125,246,1
1164,303,1342,129,238,1
1164,759,1362,129,248,1
1165,231,1429,125,239,1
1165,719,1402,122,247,1
1166,199,1275,129,252,1
1166,679,1268,122,219,1
1167,143,1369,125,235,1
1167,639,1366,122,252,1
1168,127,1306,127,247,1
1168,615,1257,119,226,1
1169,111,1169,125,209,1
1169,592,1248,120,195,1
1170,88,1330,119,253,1
1170,576,1381,127,290,1
1171,32,1542,129,340,1
1171,520,1575,127,291,1
1171,976,1675,129,323,1
1172,440,1623,131,289,1
1172,872,1673,133,324,1
1173,312,1651,138,325,1
1173,792,1551,127,284,1
1174,240,1526,131,256,1
1174,680,1534,136,281,1
1175,152,1495,127,259,1
1175,600,1490,133,282,1
1176,96,1399,122,252,1
1176,504,1519,141,302,1
1176,960,1568,131,297,1
1177,400,1561,138,309,1
1177,856,1535,131,302,1
1178,312,1490,133,271,1
1178,760,1494,131,277,1
1179,200,1478,136,263,1
1179,649,1495,133,297,1
1180,113,1525,129,293,1
1180,625,1305,115,185,1
1181,41,1323,144,242,1
1181,481,1436,136,278,1
1181,929,1392,138,248,1
1182,377,1492,129,260,1
1182,817,1414,138,253,1
1183,265,1424,133,250,1
1183,737,1432,127,255,1
1184,177,1545,133,338,1
1184,673,1421,125,250,1
1185,129,1553,127,302,1
1185,585,1498,133,264,1
1186,65,1507,125,286,1
1186,529,1490,129,242,1
1186,977,1518,131,275,1
1187,465,1436,125,278,1
1187,921,1424,133,292,1
1188,410,1487,119,279,1
1188,874,1475,131,267,1
1189,338,1421,129,251,1
1189,818,1409,125,233,1
1190,298,1449,122,240,1
1190,778,1438,127,268,1
1191,226,1364,136,266,1
1191,658,1337,136,245,1
1192,114,1214,136,211,1
1192,498,1250,147,228,1
1192,914,1288,144,224,1
1193,330,1356,144,247,1
1193,698,1382,159,263,1
1195,42,1142,44,141,1
1195,450,1138,147,213,1
1195,906,1075,129,218,1
1222,469,1317,2,332,1
1222,973,1517,125,338,1
1223,413,1662,138,359,1
1223,845,1769,138,369,1
1224,286,1858,133,387,1
1224,742,1981,131,433,1
1225,174,2047,141,468,1
1225,622,2143,133,465,1
1226,78,2211,131,467,1
1226,518,2174,133,435,1
1226,974,2165,133,449,1
1227,430,2140,131,462,1
1227,886,2037,131,414,1
1228,342,2000,129,404,1
1228,798,1965,133,391,1
1229,270,1962,129,398,1
1229,718,2003,131,413,1
1230,182,1961,131,406,1
1230,646,1882,129,371,1
1231,86,1795,136,335,1
1231,510,1837,138,378,1
1231,958,1907,133,410,1
1232,414,2048,133,451,1
1232,846,2092,138,433,1
1233,302,2064,131,401,1
1233,750,2003,133,376,1
1234,198,1955,133,382,1
1234,647,1919,133,390,1
1235,87,1903,136,388,1
1235,543,1889,131,391,1
1235,999,1902,133,376,1
1236,455,1949,127,394,1
1236,927,1900,131,379,1
1237,383,1878,131,399,1
1237,831,1810,133,366,1
1238,279,1851,131,357,1
1238,735,1927,131,413,1
1239,175,1865,136,393,1
1239,631,1737,133,349,1
1240,87,1703,129,337,1
1240,535,1551,136,283,1
1240,967,1437,138,278,1
1241,399,1489,136,306,1
1241,839,1528,136,325,1
1242,271,1551,141,311,1
1242,703,1732,133,389,1
1243,143,1695,141,362,1
1243,592,1707,133,352,1
1244,24,1672,136,332,1
1244,448,1666,141,367,1
1244,888,1697,138,352,1
1245,344,1643,129,313,1
1245,784,1544,136,287,1
1246,224,1457,133,271,1
1246,648,1390,144,288,1
1247,104,1328,133,274,1
1249,888,1409,21,316,1
1250,352,1554,136,376,1
1250,792,1754,138,406,1
1251,192,1875,144,418,1
1251,632,1924,136,408,1
1252,80,1925,133,414,1
1252,521,1966,138,411,1
1252,977,1937,133,397,1
1253,425,1955,133,412,1
1253,865,2000,136,419,1
1254,305,1987,133,436,1
1254,769,2015,131,415,1
1255,209,2090,136,480,1
1255,625,2091,144,427,1
1256,57,2115,136,430,1
1256,505,2042,138,411,1
1256,953,2067,131,407,1
1257,401,2101,133,460,1
1257,841,2089,136,415,1
1258,289,2102,133,438,1
1258,729,2039,138,398,1
1259,185,2123,129,438,1
1259,649,2042,129,396,1
1260,89,2027,136,400,1
1260,553,2011,129,407,1
1261,9,1988,131,406,1
1261,482,2031,127,412,1
1261,962,1990,125,362,1
1262,442,2042,122,420,1
1262,922,1874,127,338,1
1263,410,1867,119,339,1
1263,914,1765,120,315,1
1264,402,1690,120,295,1
1264,914,1591,119,253,1
1265,418,1570,119,265,1
1265,914,1692,122,350,1
1266,362,1718,131,351,1
1266,850,1694,125,320,1
1267,314,1671,125,286,1
1267,762,1647,136,294,1
1268,242,1636,125,304,1
1268,714,1604,129,302,1
1269,178,1588,127,284,1
1269,634,1655,131,332,1
1270,98,1680,129,322,1
1270,578,1742,125,355,1
1271,50,1748,127,365,1
1271,515,1854,129,371,1
1271,971,1885,131,394,1
1272,435,1917,129,397,1
1272,883,1973,133,413,1
1273,339,1984,131,402,1
1273,787,2000,133,409,1
1274,227,2011,138,432,1
1274,675,2005,131,392,1
1275,115,1942,138,377,1
1275,563,1947,131,390,1
1276,27,1977,131,385,1
1276,483,2000,129,378,1
1276,963,2024,127,409,1
1277,443,2040,125,405,1
1277,907,2026,129,414,1
1278,371,2000,127,383,1
1278,803,1942,138,386,1
1279,235,1897,138,384,1
1279,683,1768,138,341,1
1280,99,1697,141,337,1
1280,564,1695,129,313,1
1280,972,1664,141,345,1
1281,428,1559,138,334,1
1281,860,1612,136,344,1
1282,316,1678,131,343,1
1282,756,1673,133,323,1
1283,212,1649,131,299,1
1283,644,1736,138,374,1
1284,100,1771,133,369,1
1284,548,1777,133,358,1
1285,4,1754,131,323,1
1285,460,1819,131,354,1
1285,924,1757,129,344,1
1286,372,1735,133,367,1
1286,796,1741,138,369,1
1287,236,1770,138,352,1
